job_title,company,job_description,salary,location,job_highlights,job_link,Career Level,Qualification,Years of Experience,Job Type,Job Functions,Company Website
"Postdoctoral Researcher, AI and Data Science",Hong Kong Industrial Artificial Intelligence and Robotics Centre Limited,"Hong Kong Industrial Artificial Intelligence and Robotics Centre Limited (Flair) Ref: Flair182/20, JDB/121222 Job Description Who we are looking for: Creativity in new ideas and future focus vision. Collaboration with colleagues and the community at large. Work Smart, Play Smart! What you’ll do: Implement the R&D work focusing on the algorithm and technical solutions development using AI, Machine Learning, signal processing, data analytics and modeling, pattern recognition, and etc., so as to address the application demands mainly from manufacturing industry Study the newly development trend of AI technology and related applied R&D , develop the suitable proposal on intelligent system, algorithms, and solutions Carry out R&D tasks against the plans and complete the projects (including R&D work, project documents, technical report and paper, patents, etc.) as scheduled with high standard Train up the young engineers and partnership with others in solution development Assist in organizing and delivering technical activities, such as workshops, technical seminars, and training, etc. Support ad hoc projects and assignments when required You’ll be a good fit if you have/are: Doctorate Degree from disciplines such as Computer Engineering, AI, Computer Science, Intelligent Systems, Information Engineering or equivalent from a local university or the world top 100 universities Project experience in R&D on Condition Monitoring and PHM, Relationship Mining, Machine Vision Inspection, resources optimization, multiple agent cooperation, and related areas preferred Knowledge and skills in data science, modeling, machine learning and artificial intelligence Knowledge in NodeJS/JavaScript /React /MongoDB/MariaDB Good presentation, communication and interpersonal skills and responsible Mature, self-motivated, confident and able to work under pressure Note: This is a position funded by the Research Talent Hub under the Innovation and Technology Fund (ITF) to conduct R&D project. Applicant may be considered for other positions if not matching the requirements of the subject position. What we offer and What you’ll like here: Exciting new technology development (e.g. IoT, 5G, LoRA, AI etc.) to actualize your creative ideas Opportunities to work with our innovative and vibrant talents Embracing work flexibility (including Flexi-work hour and Flexi-location) Dynamic and energetic culture with smart outfits & sport shoes Academic training scholarship to take your career up a notch Dental benefit Medical benefits from Day-1 with extended coverage to dependent(s) Apply now if you’re ready to take the challenge! Do not miss this opportunity to join us to Create Value and “MAKE SMART SMARTER”! Flair will take into consideration both the quantitative and qualitative requirements of the position when selecting the suitable candidates.  A competitive salary package commensurate with academic qualifications and experience will be offered.  Applicants are welcome to submit application by email via ""Apply Now"" (quoting the reference number on the subject heading) in 2weeksfrom the posting date. Recruitment will continue until the position is filled. Personal data collected will be used for recruitment purpose only. Candidates not invited for interviews within 6 weeks may consider their applications unsuccessful and the applications will be disposed by FLAIR within  12  months. ",,Shatin Area," 5-day work week, Medical & dental benefits, Carry out R&D tasks against the plans, Doctorate Degree from disciplines",/hk/en/job/postdoctoral-researcher-ai-and-data-science-100003010615060?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=11&jobId=jobsdb-hk-job-100003010615060,Entry Level,Postgraduate,,"Full Time, Permanent","Engineering ,  Electrical / Electronics ,  Sciences, Lab, R&D ,  Research & Development (R&D) ,  Information Technology (IT) ,  Data Scientist",
Business Analyst x 1 (Working Location: Whampoa),Varmeego Limited,"Responsibilities Collect and analyze user requirement to prepare functional specifications Liaise with business users, vendor and internal IT team to ensure smooth delivery of the project Execute user acceptance testing including test planning, execution and defect management Initiate, liaise and negotiate with users to reach consensus on the requirements, delivery schedule and resource commitment Requirements Bachelor’s degree in business, Information Technology or relevant disciplines At least 3 years of working experience in Business Analysis Strong analytical capabilities and learning ability Strong communication skills for navigating through business requirements Able to work proactively and under pressure against multiple deadlines BA experience in implementing and launching digital products & applications Knowledge of software development in Agile Scrum Hands-on experience with JIRA, Magento and SQL is a plusHave technical sense and be able to work closely with technical/development team Good command of spoken and written English and Chinese Immediately available is an advantage We offer attractive salary and benefits packageas well as long-term career prospect to right talents. ",,," Collect and analyze user requirement, Initiate, liaise and negotiate with users, Attractive salary & benefits package",/hk/en/job/business-analyst-x-1-working-location%3A-whampoa-100003010595686?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=12&jobId=jobsdb-hk-job-100003010595686,Middle,Degree,3 years,Full Time,"Information Technology (IT) ,  Product Management / Business Analyst",
Business Data Analyst,Hong Kong Go Limited,"Job Description: Responsible for data extraction, data daily and monthly report production, data analysis, business insights, etc. related to Hong Kong market business Understand the nature of business and business logic, build a business monitoring and analysis system, define a business indicator system, and follow up on goals, resource consumption, and strategy implementation; Based on business development needs, output business analysis reports on specific topics, provide timely and effective analysis results and strategic plans, and find reasonable new business growth points; Requirement: Bachelor degree or above, computer, statistics and other related majors are preferred; 1 year or more of Internet data analysis work experience, strong data processing capabilities, proficient in SQL language, practitioners in e-commerce related industries are preferred; Have good cross-department communication and collaboration skills, strong learning ability, can quickly understand and grasp business needs, and be good at identifying and solving problems; Have strong analytical skills and be able to independently conduct data analysis and establish analysis models; Good at communication, careful work, strong execution ability, and a sense of teamwork. Fresh graduate are also welcomed Interested parties please send us the resume in Chinese & English version with the current & expected salary. All information provided will be treated in the strict confidence & used for recruitment purposes only. ",,Causeway Bay," Data Analysis for a growing e-commerce platform, Strong data processing and learning abilities, Young and dynamic environment with career growth",/hk/en/job/business-data-analyst-100003010618932?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=13&jobId=jobsdb-hk-job-100003010618932,Entry Level,,,"Full Time, Permanent","Information Technology (IT) ,  Product Management / Business Analyst ,  E-commerce ,  Product Management / Business Analyst ,  Others",
Data Analyst,Route 3 (CPS) Company Limited,"   Carry out data analytics and business analysis to derive solutions in addressing business problems  Design and develop data analytics models, reports and dashboards to support data driven business decisions, business development and marketing initiatives in relation to CRM and always on campaigns  Gather and communicate with business units to formulate data analytics solutions for visualization of key performance indicators and trends  Evaluate the results of different business analysis and provide insights for improvement  Automate the distribution of reports and dashboards  Perform data extract, transfer to load to enrich the data from internal and external data sources  Assists in evaluation of modern data analytics technology and tools ",,Wan Chai," Carry out data analytics and business analysis, Design and develop data analytics, Working in Wan Chai & Kowloon Bay",/hk/en/job/data-analyst-100003010615922?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=14&jobId=jobsdb-hk-job-100003010615922,Entry Level,Degree,1 year,"Full Time, Permanent","Transportation & Logistics ,  Others",
Data Analyst,Lockton Companies (Hong Kong) Ltd,"As part of the Risk Solutions team, the role of the ideal candidate will be in support to the team in the delivery of data analysis and analytics projects. The role also forms a part of a larger role in risk advisory and quantitative risk analysis. Responsibilities Responsible for business data collection and consolidation Build robust data analytics models and identifying potential loss trends Responsible for scripting excel macro (VBA) and R algorithms Providing comprehensive analysis of data and output of user-related data analysis Being the main local point of contact for any analytics topics Dashboarding and production of presentation of analytics’ results Validating a variety of client financial and non-financial data for the use in risk advisory services Perform other duties or ad hoc tasks as assigned by Management Requirements A Bachelor’s degree or professional qualification in Statistics, Actuarial Science or Data Science preferred Preferable working experience as a data analysis and statistical modelling Good command of spoken and written English, Cantonese & Mandarin Proficient in MS Office, namely Word, Excel (i.e. Macros and VBA) and Power Point A good understanding and working knowledge of statistical modelling Self-motivated, Strong problem solving and a good team player Fresh graduates are welcomed Visit us onglobal.lockton.com We offer competitive salary and benefits package with great opportunity for career development to the successful candidate. Please send your cover letter, detailed resume, current and expected salary to our Human Resources Departmentby clicking""Apply Now""(please put position applied on subject line). All information provided by applicants will be treated in the strictest confidence, will be used solely for recruitment purposes and strictly in accordance with the Lockton's personal data policies, a copy of which will be provided upon request. Lockton will retain all applications no longer than 12 months of which will be destroyed thereafter. ",,Quarry Bay," Fresh graduates are also welcome, Part time, Flexible working hours",/hk/en/job/data-analyst-100003010615131?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=15&jobId=jobsdb-hk-job-100003010615131,Entry Level,Degree,2 years,"Full Time, Permanent","Banking / Finance ,  Analyst ,  Professional Services ,  Business Analysis / Data Analysis ,  Information Technology (IT) ,  Data Scientist",http://www.global.lockton.com
Business Analyst (Sports & Hospitality),ConnectedGroup Limited,"This world leading organization is consistently expanding their business in HK, the unique, world-class company is now recruiting this position to join one of their business functions. We are looking for a skilled Business Analyst to join the team and help making data-driven decisions. The Business Analyst will be responsible for analyzing customer data to provide insights into customer behavior and preferences, identifying trends, and making recommendations for improving customer engagement and loyalty. Job Responsibilities Translate business needs into reporting and statistical models Support in company database analytics, present findings and recommendations on customer insights and engagement Transfer data into presentations to provide actionable advice Analyze data to identify patterns, trends, and opportunities for improvement Act as the key communication person between internal & external parties Responsible for data maintenance and accuracy Job Requirements Bachelor degree in Business Analytics, Marketing or related field At least 2 years' experience in data analytics/business analyst field Proficient in SQL is a must Proficient in BI tools such as Tableau or PowerBI is a plus Experience in property/retail/hospitality is a highly preferred Strong analytical, communication and interpersonal skills Good communication skills in both English and Cantonese Our client offers competitive compensation and benefits, as well as a dynamic and fast-paced work environment. If you are looking for a challenging and rewarding career opportunity, apply to this exciting position by sharing your resume (in word format) with Yuki Yeung ( [emailprotected] ). For a comprehensive list of current opportunities, please visit www.connectgroup.com. #StayConnected #ConnectedGroup #2023Momentum #CGis25 #CPTWCertified ",,," Business Analyst, Targeted Segment, Stable work environment, HKD$ 280,000 - 460,000 per annum",/hk/en/job/business-analyst-sports-hospitality-100003010619181?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=16&jobId=jobsdb-hk-job-100003010619181,Middle,Degree,N/A,"Full Time, Permanent","Professional Services ,  Business Analysis / Data Analysis ,  Business Consultancy",http://www.connectedgroup.com
Data Analyst (Product),GoAnimate Hong Kong Limited,"VYOND – Data Analyst (Product) AtVYOND, our mission is to put the power of video in the hands of everyone.Vyondallows people of all skill levels in all industries and job roles to create dynamic and powerful media. With features that gobeyondmoving text and images, you can build character-driven stories or compelling data visualizations that engage audiences and deliver results. Founded as GoAnimate in 2007,Vyondhas helped Global 2000 organizations, small businesses, and individuals produce more than 30 million videos. With offices in Silicon Valley, Hong Kong, and Taiwan,Vyondemploys a team of people whose creativity extends wellbeyondour office walls. We are passionate about the power of video and how it makes the static dynamic and transforms the mundane into the captivating. Position Overview Data Analyst (Product) assists Data Scientist in product research, development and monitoring product data quality. The right candidate will have a passion for discovering insights hidden in large data sets and actively working with stakeholders to improve business outcomes.The role will also have an opportunity to develop Data Science and Customer Insights skills. Responsibilities Participate in the sprint planning sessions conducted using agile methodology. Assist in prioritization of new product features and evaluating their success after launch. Review tracking specifications and perform QA tests once they are implemented. Monitor key product and customer metrics for business impacting anomalies. Support business stakeholders by serving ad hoc data requests and analyses. Develop and apply good business sense to identify commercially impactful insights. Requirements Bachelor degree or above in Computer Science, or equivalent. Minimum of 2 years’ experience in software development and data analysis. Hands-on working knowledge of relational database management systems, such as SQL Server, Oracle, or MySQL is required. Foundational knowledge in statistics and A/B testing. Attention to detail, able to work independently and learn on-the-fly. Good interpersonal and communication skills. Enthusiasm and curiosity. Fluent English is a must. ",,Sheung Wan," 2+yrs exp in software development, data analysis, SQL Server, Oracle, or MySQL, Good English mandatory",/hk/en/job/data-analyst-product-100003010617272?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=17&jobId=jobsdb-hk-job-100003010617272,,,,Permanent,"Information Technology (IT) ,  Others ,  Data Scientist",https://www.vyond.com/
Data Analyst - ESF Centre,The English Schools Foundation,"We are looking for a data analyst to join our ambitious Data Innovation project at English Schools Foundation (ESF). You will be working on developing new data-analytic solutions and products to promote data-driven education. The position will be based in ESF’s central office, but “field visits” may be required occasionally to any of the 22 ESF schools across Hong Kong. Responsibilities will include maintaining and further developing digital products for the use of data in education across 22 ESF schools. There will be a learning curve: you will learn about the existing projects and undergo training. Overview of the Data Innovation project: We have a range of existing recently created prototypes of digital products. Support is needed in maintaining these prototypes, improving their efficiency and implementing them as a stable solution in individual schools We are implementing a number of local innovative solutions in deriving insights from educational data. Support is needed in creating a more systematic and sustainable approach to data innovation We are constantly looking for emerging opportunities to leverage data analytics and data science in an educational setting. Support is needed in building new prototypes. Most products that we currently develop are relatively simple local applications with a quick turnaround between prototyping and trial implementation (<= 1 year between a new idea and a minimally functional working solution). Products include dashboards, visualisations, chatbots, predictive algorithms. Your responsibilities in this role will include: supporting the successful prototypes and developing them into stable solutions implemented across schools constantly engaging in discussions on how to improve the algorithms and add value shadowing the Data Innovation Lead in leading key data-related projects communicating with schools to gather expectations and feedback Requirements: working knowledge of Python experience in data analysis or data science knowledge and experience in database creation and management experience with creating and deploying simple applications or dashboards willingness to constantly learn and adapt to a quickly changing environment good communication skills passion for learning and innovation Apply directly via this posting. For enquiries, please contact Mike Diep at via “Apply Now” Applications will be reviewed on a rolling basis and offers may be extended prior to the job closing date. By applying for this position, your application may be considered for other opportunities (senior-level roles, head of department, etc.) within ESF. ESF is an Equal Opportunities Employer The English Schools Foundation (ESF) is fully committed to providing equal employment opportunity. ESF will not discriminate on the basis of age, race, colour, gender, marital status, sexual orientation, gender identity, pregnancy, national origin, religion, veteran status, physical or mental disability, genetic information, creed, citizenship or any other status protected by local laws or regulations. Personal data provided by job applicants will be used strictly in accordance with the ESF's Personal Data Policy, a copy of which will be provided upon request. Aligned with the recommendations of the International Task Force on Child Protection, we hold ourselves to a high standard of effective recruiting practices with specific attention to child protection. supportstaff ",,," Working knowledge of Python, Experience in data analysis or data science, Supporting the successful prototypes & developing",/hk/en/job/data-analyst-esf-centre-100003010618559?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=18&jobId=jobsdb-hk-job-100003010618559,Entry Level,Degree,,Full Time,"Information Technology (IT) ,  Application Specialist - Software ,  Others ,  Data Scientist",http://www.esf.edu.hk
Business Analyst (Data),Michael Page,"Large-scale properties group Data-driven project related to CRM and loyalty programs System integration with Salesforce Marketing Cloud Description Liaise with internal business stakeholders to gather business requirements, and understand business processes Translate the business requirement into well-defined functional requirements Work closely with cross-function teams and external vendors on system integration/implementation projects in the Customer Relationship Management (CRM) system and Salesforce Marketing Cloud Involved in Data-driven project implementation and exploration Prepare test plans, coordinate UAT including issue tracking & fixing activities, and provide user training Assist in ad-hoc projects and tasks Profile Bachelor's degree in Computer Science/ Computer Engineering/ Information Systems or related disciplines; At least 4 years of relevant experience in a business analyst role, at least 2 years experience in CRM/ loyalty program Experience in Agile / Scrum is a plus Experience and knowledge in SQL scripting skills Experience and knowledge in Salesforce Marketing Cloud, agile tools like JIRA, and Confluence is a huge plus Strong communication skills in Chinese and English Job Offer Our client provides attractive compensation and a sustainable career path. To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Julee Thapaon +852 2848 4746. ","HK$35K - 44,999 /month ",," Large-scale properties group in Hong Kong, Data-driven project related to CRM, Strong communication skills",/hk/en/job/business-analyst-data-100003010618550?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=19&jobId=jobsdb-hk-job-100003010618550,Middle,Degree,N/A,"Full Time, Permanent","Professional Services ,  Business Analysis / Data Analysis ,  Information Technology (IT) ,  Product Management / Business Analyst ,  Data Scientist",http://www.michaelpage.com.hk
Data Analyst (Reinsurance),AXA Hong Kong,"Responsibilities: Manage the accuracy and efficiency of reinsurance settlement Validate the data quality of premium and claims bordereaux from client insurers Confirm the Statements of Account by reconciling the bordereaux data and reinsurance treaties Streamline data processing with automation solutions Engage in proactive communication with client insurers, brokers and peers to follow up data and settlement related matters Facilitate the settlement approval process Consolidate records of data validation and settlement for management overview and stakeholder communication Empower data-driven pricing and business decisions Perform data cleansing, transformation, and aggregation of reinsurance premium and claims data Design and build data mart or data warehouse solutions with uniformity across diverse data sources for advanced query and analysis Collaborate with pricing and valuation teams to understand their needs and deliver data products to aid in strategic decision-making Requirements: A Bachelor’s degree holder with at  least 1 year of experience  in data analytics or statistics Fresh graduates are also welcome Strong working experience using  MS Excel and programming languages,  preferably in Python, R and SQL Strong analytic and problem-solving capabilities A proactive, can-do attitude with a commitment to deliver high-quality work A solid understanding of insurance products and reinsurance are highly preferred Strong interpersonal and communication skills, with the ability to work independently and maintain a detailed-oriented quality mindset Good command of spoken and written English and Chinese (Cantonese and/or Mandarin) ",,," Experience in data analytics field is preferred, Fresh graduates are welcome, Good culture & energetic team",/hk/en/job/data-analyst-reinsurance-100003010617658?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=20&jobId=jobsdb-hk-job-100003010617658,Entry Level,Degree,3 years,"Full Time, Permanent","Banking / Finance ,  Others ,  Professional Services ,  Business Analysis / Data Analysis ,  Insurance ,  Insurance Agent / Broker",https://www.axa.com.hk
Data Analyst,Laboratory for AI-Powered Financial Technologies Limited,"The Laboratory for AI-Powered Financial Technologies Limited (AIFT) aims to be a leading research center on the financial technologies and services.We are seeking for  passionate and talented  Data Analyst to join our growing team. Key Accountabilities Monitoring and tracking blockchain networks and digital currency transactions; Analyzing patterns, trends, and correlations for web3 applications; Interpreting results, writing reports, and providing insights into the web3 industry; Responsible for creating data dashboards to visualize data and display critical information in an easily understandable manner; Designing, developing, testing, and maintaining data dashboards, creating reports and charts, and working with internal teams to ensure accuracy and reliability of data; Research new technologies to improve data visualization; Provide technical support and training to users of data dashboards. Qualification / Knowledge & Experience Bachelor／Master ／Doctoral degree awarded by either a local university or a well-recognised non-local institution, or jointly awarded by a local university together with a non-local university. Degree should be in a Science, Technology, Engineering and Mathematics (""STEM"") related discipline. Experience with blockchain technology and a strong understanding of the web3 industry. Familiar with blockchain data ETL (i.e., extract, transformation & loading). Familiar with data analytics (i.e., web scraping, data mining algorithm, and network analysis). Able to work independently and collaboratively with a team. Less experience will be considered as Assistant Data Analyst. Good command of Verbal and written communication skills in Chinese and English. Salary offered will be highly competitive, commensurate with qualifications and experience. Fringe benefits will be provided. Visit us https://hkaift.com/ All information will be treated in strict CONFIDENTIAL and will be only used for this recruitment purpose. ",,Shatin Area," 18 days Annual Leave, Medical Insurance, Experience with blockchain technology",/hk/en/job/data-analyst-100003010617709?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=21&jobId=jobsdb-hk-job-100003010617709,,Degree,,Full Time,"Banking / Finance ,  Analyst ,  Information Technology (IT) ,  Technical Writing ,  Data Scientist",
"Data Analyst (Banking, Tableau, Python)",PERSOLKELLY Hong Kong Limited,"Our client is a leading financial services group that provides the full range of services in consumer, SME and corporate banking activities in Asia and the Middle East and is looking for a data analyst. Responsibilities: To identify, measure, review and revamp process and methodology for regulatory or MIS report compilation To compile statutory and group reports in a correct and timely manner To conduct ad hoc studies or other projects in relation to but not limited to regulatory or MIS modification and development Work on the end to end flow of a broad range of analytics use cases to deliver real business value Requirements: Hands on experience in Tableau, SQL, Python, ETL 1 years’ experience in building reports, and data analytics A good team player with excellent communication skills Fluent in Cantonese and English, Mandarin is a plus To apply for this position, please send your full résumé to Contract_hk @persolkelly.com in word format indicating the reference number and title. If you are not contacted by our consultants within 2 weeks, please consider your application unsuccessful. All applications will be treated in strict confidence, and used for recruitment purposes only in accordance with PERSOLKELLY Hong Kong Limited’s Privacy Notice. ",,Kwun Tong," 1 year experience in building reports, Hands on experience in Tableau, Python, SQL, ETL, Fluent in Cantonese and English, Mandarin",/hk/en/job/data-analyst-banking-tableau-python-100003010614101?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=22&jobId=jobsdb-hk-job-100003010614101,Entry Level,Degree,1 year,Full Time,"Professional Services ,  Business Analysis / Data Analysis ,  Information Technology (IT) ,  Others ,  Data Scientist",http://www.persolkelly.com.hk
Data Analyst (Data Management),Wheelock Properties (Hong Kong) Limited,"Responsibilities: Collaborate with internal stakeholders to understand business needs and deliver a spectrum of data services, including data analysis, visualization, prediction, generating insights, database design, data pipelining, etc. Assist in development and enhancement of data management practices, data processing and analytic workflows, as well as data layer of operational systems Perform ad-hoc tasks related to data as assigned by supervisors Requirements: Bachelor Degree in Science, Engineering, Business Administration, Social Science or relevant disciplines At least 4 years of experience in data analysis, data science, business intelligence, marketing research, and/or IT system development Hands-on experience in implementing data solutions using programming (e.g. Python, R) together with software libraries (e.g. TensorFlow, pandas), as well as other computing tools for data analytic tasks (e.g. Power BI) Strong knowledge in statistics and algorithms Knowledge in computer systems, including databases, web applications, cloud, servers and network,data architecture, data modelling and data engineeringare highly regarded Proactive in problem solving and willing to learn Strong business acumen, communication and presentation skills Meticulous and excellent numerical sense Good command in written and spoken English and Chinese We offer ample opportunities for career development and attractive salary package commensurate with experience and qualifications. Interested parties please apply with full resume via“APPLY NOW”.  For further information on Wheelock Properties (Hong Kong) Limited, please visit our website: www.wheelockpropertieshk.com . We are an equal opportunities employer and invite applications from all qualified candidates. Personal data collected will be treated in strict confidence and handled by authorized persons for recruitment-related purposes only within The Wheelock & Wharf Group. Applicants not hearing from us within 2 months may consider their applications unsuccessful.  ",,Southern Area," Provide a spectrum of data services, Strong knowledge in statistics and algorithms, Exp. in Python/ R/ TensorFlow/ pandas/ PowerBI",/hk/en/job/data-analyst-data-management-100003010614630?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=23&jobId=jobsdb-hk-job-100003010614630,Entry Level,Degree,4 years,"Full Time, Permanent","Information Technology (IT) ,  DBA ,  Others ,  Data Scientist",
Data Analyst (Quality),GoAnimate Hong Kong Limited,"Data Analyst AtVyond, our mission is to put the power of video in the hands of everyone.Vyondallows people of all skill levels in all industries and job roles to create dynamic and powerful media. With features that gobeyondmoving text and images, you can build character-driven stories or compelling data visualizations that engage audiences and deliver results. Founded as GoAnimate in 2007,Vyondhas helped Global 2000 organizations, small businesses, and individuals produce more than 30 million videos. With offices in Silicon Valley, Hong Kong, and Taiwan,Vyondemploys a team of people whose creativity extends wellbeyondour office walls. We are passionate about the power of video and how it makes the static dynamic and transforms the mundane into the captivating. Job Overview: We are seeking a highly motivated and skilled individual to join our team as a Data Analyst. The successful candidate will be responsible for executing, maintaining, and monitoring our organization's data quality policies and standards, as well as collaborating closely with stakeholders to identify and resolve data quality issues. Additionally, the Data Analyst will have the opportunity to gain regular exposure to product and commercial analysis using SQL, Python, and other BI tools, which will help them develop a broader understanding of the business and contribute to the development of data-driven strategies. Key Responsibilities: Execute, maintain, and monitor data quality policies and standards Conduct data profiling and analysis to identify data quality issues Collaborate with stakeholders to resolve data quality issues Develop and maintain clear data dictionary definitions and other documentation Create data quality dashboards and reports Provide guidance and support to data users Qualifications: Bachelor's degree in computer science, information systems, or a related field 2+ years of experience in data analysis, with a strong interest in data quality (a more senior position may be offered to candidates with greater experience) Strong knowledge of data modeling concepts and analysis techniques Good SQL skills and experience with Python or other BI tools Strong analytical and problem-solving skills Excellent verbal and written communication skills in English, with a focus on clarity and attention to detail Strong collaboration skills, including the ability to communicate effectively, work well in a team environment, and challenge others constructively while being open to constructive feedback and challenge. Join our team as a Data Analyst to advance your career in data quality management, gain exposure to other diverse data-driven projects and techniques, and work in a dynamic environment that fosters growth and development. Competitive salary and comprehensive benefits package included. If you're a highly motivated individual with experience in data analysis, apply now. ",,Sheung Wan," 2+ years of experience in data analysis, SQL and Python, Good English mandatory",/hk/en/job/data-analyst-quality-100003010617271?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=24&jobId=jobsdb-hk-job-100003010617271,,,,Permanent,"Information Technology (IT) ,  Others ,  Data Scientist",https://www.vyond.com/
AI Data Analyst,Aztech Systems (Hong Kong) Ltd,"Responsibilities Work closely with AI Engineers to design and analyse AI models. Constantly monitor, assess, and conduct in-depth analysis of datasets to ensure accurate analysis and reporting. Monitor system performance, data integrity, and usage metrics. Stay up to date on the latest technologies and advancements. Develop and implement artificial intelligence algorithms to solve complex problems and improve processes. Requirements Bachelor’s degree or higher in Analytics, Engineering, or a related field with at least 2 years of relevant work experience. Fresh graduates with keen interest in learning are welcome to apply. Numerically inclined, comfortable working with large volume of date with strong understanding of statistics, datasets, and machine learning exercises. Proficient in data processing tools such as Pandas, NumPy, Scikit-learn, etc. Proficient in data labelling tools such as Labelbox, Supervisely, etc. Strong critical thinking skills and attention to detail. Good time management skills to ensure that deadlines are met in a fast-paced environment. Comfortable with working independently as well as in a team. ",,Shatin Area,,/hk/en/job/ai-data-analyst-100003010613348?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=25&jobId=jobsdb-hk-job-100003010613348,Entry Level,Degree,2 years,Full Time,"Engineering ,  Others",http://www.aztech.com.sg
Operations Analyst,Asia Airfreight Terminal Co. Ltd.,"Duties Prepare and coordinate new system development, related system change requirements by providing solution to and liaison with user department(s) Participate, lead and manage projects involving process re-engineering, new product development and operations enhancement Develop process improvement procedures Monitor operational performance Prepare procedure manual write up Requirements Degree in Logistics, Industrial Engineering, Operations Management, Transportation or other related disciplines 3 years relevant experience of project management or process re-engineering management in logistics field Proficient in MS Office (PowerPoint, Excel, Access and Visio) Good command of both written and spoken English and Chinese Highly self-motivated with good analytical, interpersonal, presentation and communication skills Able to workindependently and efficiently Candidates with less academic background or working experience will also be considered We offer the right incumbent attractive remuneration package including 1 3 days annual leave, 5-day week, double pay, performance bonus, medical scheme, life insurance, travel allowance and education subsidy. Interested parties please send your full resume with reference no., recent and expected salary to:  Human Resources Department, Asia Airfreight Terminal Co. Ltd., 10 Chun Ping Road, Hong Kong International Airport, Lantau, Hong Kong  OR Fax to  2286 0374  OR  Please click “Apply Now” to submit your application. We are an equal opportunity employer and welcome applications from all qualified candidates. We will not be responsible for any disclosure or the loss of personal data during transmission. All personal data collected will be used for recruitment only. Information of unsuccessful candidates will be destroyed after 3 months from the date of application. ",,Airport Area," 13 days annual leave, 5-day week, double pay, Prepare and coordinate new system development, Able to work independently and efficiently",/hk/en/job/operations-analyst-100003010619026?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=26&jobId=jobsdb-hk-job-100003010619026,Middle,Degree,3 years,"Full Time, Permanent","Transportation & Logistics ,  Others ,  Professional Services ,  Business Analysis / Data Analysis ,  Others ,  Student / Fresh Graduate / No Experience",http://www.aat.com.hk
Contract Junior Data Analyst  (Subject to renew),Peoplebank Hong Kong Ltd,"Job duties: Identify, measure, review and revamp process and methodology for regulatory or MIS report compilation Compile statutory and group reports in a correct and timely manner Conduct ah hoc studies or other projects in relation to but not limited to regulatory or MIS modification and development Perform UAT testing Perform BAU data analyze Requirement: Degree holder in related subjects At least 1 year working experience in banking industry is an advantage Familiar with Excel/ Python Good command in English and Cantonese Less experienced candidates are also considered ",,Kwun Tong," 5 days Work, Less experienced candidates are also considered, With contract-ended gratuity",/hk/en/job/contract-junior-data-analyst-subject-to-renew-100003010614156?token=0~becf7c5a-78d7-43ba-9f26-8345ce0e08da&sectionRank=27&jobId=jobsdb-hk-job-100003010614156,Entry Level,Degree,N/A,"Full Time, Contract","Information Technology (IT) ,  Support ,  Testing / QA ,  Data Scientist",http://www.peoplebank.com.hk
